3 3
49
-0.375520557165146 0.378063708543777 -0.0812621712684631
-0.360113799571991 0.263118654489517 0.374460637569427
-0.385901812267769 0.898419733512001 0.209575222115298
-0.776286809921393 0.554647425148146 0.299574736115377
0.0247079357504845 0.241551607847214 -0.31405907869339
-0.0779513230682639 0.951955710955245 -0.296148468865872
0.178115278482437 0.245653912425041 0.337202608585358
0.0919277891516685 -0.193643033504486 0.322174400091171
-0.340819379779557 0.590316482518341 -0.731688868873821
0.0980815546655796 0.947594001250024 0.304048708974979
0.197570979595184 -0.327696442604065 -0.459620416164398
0.419948399066925 0.096494272351265 -0.212577998638153
0.681638760023334 0 -0.731688868873821
0.340819380127722 0.590316482317328 -0.731688868873821
0.502349150931124 -0.794449190373005 -0.341314831899313
0.513261437416077 -0.154627308249474 0.0620518960058689
0.0341916270554066 -0.401826500892639 -0.130874410271645
-0.681638760023334 4.02025923040171e-10 -0.731688868873821
0 0 -1
-0.463475823402405 -0.218075007200241 0.04933962225914
-0.340819380475887 -0.590316482116315 -0.731688868873821
0.0907537018084402 -0.939652738887127 -0.329873454388173
0.340819379431393 -0.590316482719354 -0.731688868873821
0.81688522125122 0.431130035984266 0.383178062228972
0.989712864097439 -0.00797328776813168 0.142845627592203
0.456501394510269 0.362504959106445 -0.0270537585020065
0.843423911669669 0.480812670454194 -0.23969831279035
-0.681638760023334 4.02025923040171e-10 0.731688868873821
0 0 1
-0.971938980361776 0.111602893132435 0.207073447592352
0.340819379431393 -0.590316482719354 0.731688868873821
-0.340819380475887 -0.590316482116315 0.731688868873821
-0.340819379779557 0.590316482518341 0.731688868873821
0.837159625843891 -0.475981362424568 -0.269454084180161
0.947943162076105 0.000698569412307224 -0.318438806482393
0.681638760023334 0 0.731688868873821
0.808281510197761 -0.467804886721864 0.357546623857045
0.504141584915578 -0.855731699377444 0.116466823771414
-0.865387554747293 0.401907848416027 -0.29928992878161
0.588931743799093 0.774425838688369 0.231136369958466
0.340819380127722 0.590316482317328 0.731688868873821
-0.778112487497595 -0.551125696961143 -0.301332744568856
-0.575347092471379 0.79134245874221 -0.206767589763394
-0.972199996272182 -0.106707454893281 -0.208424293974017
-0.868584298925606 -0.396797752268239 0.296838103104683
0.425695901702975 0.883777058695194 -0.194219231275798
-0.383774389692628 -0.897494853455127 -0.217302107301359
-0.573515996420249 -0.79361563150162 0.203109899528245
-0.0595035220695031 -0.958303750589106 0.279487481773652
143
0 1 2 3
0 4 5 6
1 6 7 0
0 4 8 5
9 6 2 5
10 11 12 13
10 14 15 16
10 11 13 4
4 10 16 17
10 4 18 17
16 17 19 4
20 21 22 10
21 16 10 20
23 24 25 26
27 7 19 1
10 11 16 15
1 6 28 7
19 1 0 29
7 30 28 31
27 19 29 1
1 28 6 32
1 6 2 32
11 15 33 34
25 6 15 23
11 25 4 6
11 15 7 16
11 13 25 26
10 18 4 13
10 12 11 33
10 21 22 14
15 35 7 36
15 16 14 37
15 37 7 16
6 25 15 11
3 29 38 0
10 11 15 33
25 39 6 23
25 6 39 9
25 4 5 13
11 25 13 4
24 25 26 11
6 28 7 35
1 7 28 27
0 2 1 6
0 29 38 19
11 16 7 4
7 0 19 1
25 6 9 5
11 7 15 6
0 17 38 8
6 35 40 28
0 6 7 4
7 19 4 16
4 0 19 7
15 25 24 11
19 20 41 17
11 15 34 24
10 33 15 14
10 11 4 16
15 33 34 24
0 38 42 8
23 6 15 35
19 29 43 44
11 6 4 7
25 45 9 39
11 26 12 13
6 2 5 0
25 23 26 39
19 27 44 31
10 14 22 33
17 4 0 19
6 9 32 40
19 17 38 0
25 45 5 9
17 10 16 20
46 20 41 19
19 46 16 47
1 3 29 27
7 47 31 19
20 17 19 16
44 27 19 29
6 23 40 35
47 16 7 48
16 48 47 46
25 45 13 5
7 37 36 30
4 8 13 18
19 43 17 41
15 23 24 25
15 33 36 37
10 33 22 12
20 16 19 46
11 26 24 34
0 5 42 2
8 4 0 17
10 13 12 18
6 2 32 9
6 40 39 9
6 4 5 25
31 27 7 19
7 31 28 27
16 37 7 48
6 23 39 40
15 24 36 33
19 16 7 47
48 47 31 7
16 14 37 21
4 5 13 8
15 37 14 33
1 32 2 3
16 21 46 20
25 26 45 39
16 46 21 48
37 7 48 30
15 36 7 37
10 18 12 22
16 21 37 48
19 47 44 41
0 42 5 8
7 28 30 35
15 36 24 35
29 1 0 3
0 42 3 2
19 43 29 38
7 36 35 30
19 43 38 17
11 12 34 33
4 18 17 8
15 6 7 35
19 43 41 44
35 23 24 15
1 32 27 28
10 22 20 18
19 47 31 44
25 13 45 26
14 16 10 21
1 3 27 32
11 26 34 12
6 40 32 28
0 38 3 42
10 17 18 20
19 47 41 46
7 31 48 30
