# --------------------------------------------------------
# Using UniformRandom0:
0 11.7188
0.01 36.98
0.02 38.3301
0.03 39.7949
0.04 41.0156
0.05 42.4805
0.06 44.1382
0.07 45.6177
0.08 46.6309
0.09 48.5767
0.1 49.3066
0.2 63.9648
0.3 78.6133
0.4 93.7012
0.5 105.381
0.6 119.346
0.7 128.584
0.8 139.648
0.9 149.854
1 162.109
2 188.389
3 215.02
4 238.281
5 266.953
6 284.238
7 310.547
8 333.984
9 355.781
10 380.859
20 617.188
30 860.079
40 1093.75
50 1322.58
60 1562.34
70 1812.5
80 2026.41
90 2281.25
100 2540.78
