# --------------------------------------------------------
# Using UniformRandom2:
0 64.7461
0.01 145.977
0.02 145.986
0.03 147.949
0.04 147.461
0.05 148.438
0.06 149.922
0.07 150.391
0.08 151.895
0.09 152.881
0.1 153.867
0.2 161.758
0.3 168.662
0.4 175.566
0.5 183.281
0.6 188.389
0.7 196.23
0.8 203.203
0.9 209.102
1 215.02
2 282.344
3 344.004
4 406.25
5 466.719
6 527.07
7 581.719
8 647.773
9 701.25
10 765
20 1367.97
30 1982.5
40 2575
50 3170.47
60 3761.26
70 4377.5
80 4972.5
90 5622.5
100 6180.02
