# --------------------------------------------------------
# Using UniformRandom2:
0 15.4248
0.01 77.1094
0.02 78.1055
0.03 79.9219
0.04 81.2842
0.05 82.6465
0.06 84.4629
0.07 85.8252
0.08 87.1875
0.09 88.5498
0.1 89.8438
0.2 106.484
0.3 123.75
0.4 137.695
0.5 154.004
0.6 170.625
0.7 184.688
0.8 200.82
0.9 214.082
1 227.344
2 285
3 350.273
4 409.609
5 466.055
6 528.281
7 589.531
8 646.954
9 711.563
10 765.625
20 1361.25
30 1546.88
40 1546.88
50 1562.34
60 1578.12
70 1578.13
80 1578.13
90 1577.81
100 1593.75
1000 1657.03
10000 1656.25
100000 1672.81
1e+06 1672.81
1e+07 1656.25
1e+08 1656.25
