# --------------------------------------------------------
# Using UniformRandom1:
1 177
5 302
10 452
15 604
20 754
21 786
22 815
23 845
24 876
25 905
26 937
27 966
28 996
29 1026
30 1057
31 1086
32 1116
33 1148
34 1176
35 1207
36 1237
37 1267
38 1297
39 1328
40 1357
41 1387
42 1418
43 1441
44 1442
45 1442
46 1443
47 1445
48 1444
49 1444
50 1446
51 1446
52 1446
53 1447
54 1446
55 1448
56 1446
57 1431
58 1436
59 1432
60 1433
61 1431
62 1434
63 1434
64 1451
65 1453
66 1454
67 1454
68 1455
69 1455
70 1457
71 1456
72 1457
73 1459
74 1459
75 1459
76 1459
77 1460
78 1461
79 1461
80 1463
85 1463
90 1466
95 1469
100 1470
