# --------------------------------------------------------
# Using UniformRandom2:
0 8
1e-16 78
1e-15 81
1e-14 81
1e-13 81
1e-12 81
1e-11 81
1e-10 81
1e-09 81
1e-08 82
1e-07 85
1e-06 86
1e-05 86
0.0001 97
0.001 118
0.01 157
0.02 145
0.03 148
0.04 146
0.05 148
0.06 149
0.07 149
0.08 150
0.09 151
0.1 151
0.2 159
0.3 167
0.4 173
0.5 179
0.6 185
0.7 191
0.8 197
0.9 203
1 210
2 266
3 320
4 374
5 428
6 481
7 535
8 588
9 641
10 693
20 1218
30 1742
40 2270
50 2790
60 3320
70 3840
80 4360
90 4880
100 5410
