# --------------------------------------------------------
# Using UniformRandom1:
0 11.7188
0.01 50.7813
0.02 51.7578
0.03 52.6904
0.04 54.1406
0.05 55.1074
0.06 57.207
0.07 57.5244
0.08 59.082
0.09 59.9414
0.1 61.5234
0.2 73.4766
0.3 87.29
0.4 99.6191
0.5 110.352
0.6 121.094
0.7 132.168
0.8 140.186
0.9 150.908
1 158.203
2 171.621
3 178.711
4 191.348
5 205.078
6 222.91
7 240.234
8 260.391
9 280.117
10 297.871
20 479.531
30 669.024
40 867.188
50 1070.31
60 1265.63
70 1454.06
80 1656.25
90 1859.38
100 2041.88
