# --------------------------------------------------------
# Using UniformRandom2:
0 22.6855
0.01 41.814
0.02 42.7808
0.03 43.9893
0.04 45.6543
0.05 46.875
0.06 47.6147
0.07 48.8232
0.08 50.2734
0.09 51.7578
0.1 52.6904
0.2 65.2588
0.3 78.6133
0.4 90.3955
0.5 101.445
0.6 113.281
0.7 123.047
0.8 132.813
0.9 141.602
1 149.854
2 163.086
3 171.123
4 180.879
5 195.293
6 210.293
7 233.516
8 252.656
9 270.918
10 289.863
12 324.219
13 326.172
14 329.434
15 328.125
16 337.891
17 341.797
18 341.797
19 343.75
20 347.656
30 357.422
40 380.723
50 386.719
60 398.477
70 409.922
80 422.149
90 425.391
100 433.125
200 498.867
300 554.688
400 593.75
500 625
600 667.969
700 688.359
800 719.297
900 750
1000 765.703
2000 986.328
3000 1140.63
4000 1278.28
5000 1390.63
6000 1530.78
7000 1523.44
8000 1523.44
9000 1523.44
10000 1523.44
100000 1523.44
900000 1515.94
1e+06 165.322
1e+07 165.322
1e+08 165.322
