# --------------------------------------------------------
# Using UniformRandom0:
0 14.1602
0.01 37.9468
0.02 39.6997
0.03 40.3638
0.04 42.2363
0.05 43.457
0.06 44.6777
0.07 46.1426
0.08 47.3633
0.09 48.8281
0.1 49.79
0.2 63.4766
0.3 77.1484
0.4 90.7422
0.5 102.578
0.6 113.428
0.7 123.291
0.8 131.836
0.9 142.031
1 150.908
2 162.109
3 171.123
4 182.617
5 195.312
6 210.938
7 230.469
8 251.953
9 271.484
10 291.016
20 472.656
30 656.25
40 843.75
50 1041.56
60 1222.03
70 1446.33
80 1460.94
90 1460.94
100 1468.75
1000 1515.63
10000 1523.67
100000 1515.94
1e+06 1515.94
1e+07 1531.25
1e+08 1538.67
