# --------------------------------------------------------
# Using UniformRandom0:
1 132
5 194
10 291
15 387
20 480
21 501
22 518
23 536
24 555
25 574
26 590
27 609
28 626
29 644
30 661
31 680
32 698
33 717
34 735
35 754
36 773
37 791
38 810
39 831
40 849
41 869
42 889
43 908
44 927
45 947
46 966
47 986
48 1006
49 1024
50 1045
51 1063
52 1083
53 1101
54 1121
55 1141
56 1158
57 1179
58 1196
59 1216
60 1234
61 1254
62 1271
63 1291
64 1309
65 1329
66 1347
67 1366
68 1384
69 1405
70 1418
71 1420
72 1420
73 1421
74 1421
75 1422
76 1423
77 1422
78 1424
79 1423
80 1424
85 1426
90 1429
95 1430
100 1432
